id,type,latitude_deg,longitude_deg,elevation_ft,municipality,gps_code,iata_code
4004,large_airport,41.2971,2.07846,12,Barcelona,LEBL,BCN
4019,large_airport,40.471926,-3.56264,1998,Madrid,LEMD,MAD
4035,large_airport,39.55170059,2.738810062,27,Palma De Mallorca,LEPA,PMI
4020,large_airport,36.67490005,-4.499110222,53,Málaga,LEMG,AGP
3081,large_airport,27.93190002,-15.38659954,78,Gran Canaria Island,GCLP,LPA
3083,large_airport,28.04450035,-16.57250023,209,Tenerife Island,GCTS,TFS
3997,large_airport,38.28219986,-0.558156013,142,Alicante,LEAL,ALC
4010,medium_airport,41.90100098,2.760550022,468,Girona,LEGE,GRO
4049,medium_airport,37.41799927,-5.893109798,112,Sevilla,LEZL,SVQ
4042,medium_airport,39.4893,-0.481625,240,Valencia,LEVC,VLC
4013,medium_airport,38.8728981,1.37311995,24,Ibiza,LEIB,IBZ
3082,medium_airport,28.945499,-13.6052,46,Lanzarote Island,GCRR,ACE
4001,medium_airport,43.30110168,-2.910609961,138,Bilbao,LEBB,BIO
3077,medium_airport,28.45269966,-13.86380005,85,Fuerteventura Island,GCFV,FUE
3084,large_airport,28.48270035,-16.34149933,2076,Tenerife Island,GCXO,TFN
4021,medium_airport,39.86259842,4.218649864,302,Menorca Island,LEMH,MAH
4038,large_airport,42.89630127,-8.415140152,1213,Santiago de Compostela,LEST,SCQ
4015,medium_airport,36.74459839,-6.060110092,93,Jerez de la Frontera,LEJR,XRY
4031,medium_airport,41.1473999,1.167170048,233,Reus,LERS,REU
3998,medium_airport,36.84389877,-2.370100021,70,Almería,LEAM,LEI
4011,medium_airport,37.18870163,-3.777359962,1860,Granada,LEGR,GRX
4017,medium_airport,37.77500153,-0.812389016,11,San Javier,LELC,MJV
4046,medium_airport,42.23180008,-8.62677002,856,Vigo,LEVX,VGO
4048,medium_airport,41.66619873,-1.04155004,863,Zaragoza,LEZG,ZAZ
3080,large_airport,28.626499,-17.7556,107,Sta Cruz de la Palma, La Palma Island,GCLA,SPC
4044,medium_airport,40.370701,-3.78514,2269,Madrid,LECU,ECV
3999,medium_airport,43.56359863,-6.034619808,416,Ranón,LEAS,OVD
4047,medium_airport,43.42710114,-3.820009947,16,Santander,LEXJ,SDR
4037,medium_airport,43.35649872,-1.790609956,16,Hondarribia,LESO,EAS
4041,medium_airport,40.49670029,-3.445869923,2026,Madrid,LETO,TOJ
4007,medium_airport,43.302101,-8.37726,326,Culleredo,LECO,LCG
4043,medium_airport,41.70610046,-4.851940155,2776,Valladolid,LEVD,VLL
29409,small_airport,42.25999832,3.109721899,2,Ampuriabraba,LEAP,
29760,small_airport,39.99919891,0.026110999,20,Castellón de La Plana,LECN,
29412,small_airport,41.52090073,2.105079889,485,Sabadell,LELL,QSA
4025,medium_airport,42.77000046,-1.646329999,1504,Pamplona,LEPP,PNA
38691,small_airport,41.58560181,1.653059959,1148,Barcelona,LEIG,
4003,medium_airport,42.357601,-3.62076,2945,Burgos,LEBG,RGS
29842,small_airport,27.78249931,-15.50720024,20,Gran Canaria Island,GCLB,
4045,medium_airport,42.88280106,-2.7244699,1682,Alava,LEVT,VIT
3093,medium_airport,35.27980042,-2.956259966,156,Melilla,GEML,MLN
4022,medium_airport,37.17490005,-5.615940094,285,Morón,LEMO,OZP
4032,medium_airport,36.64519882,-6.349460125,86,Rota,LERT,ROZ
4000,medium_airport,37.84199905,-4.848879814,297,Córdoba,LEBA,ODB
4039,small_airport,42.3386,1.40917,2625,La Seu d'Urgell Pyrenees and Andorra,LESU,LEU
4034,small_airport,39.59889984,2.702780008,157,Mallorca Island,LESB,
46583,closed,38.85638889,-3.97,2060,Ciudad Real,LERL,CQM
43294,small_airport,39.474701,-1.03444,2340,Requena,LERE,
45168,small_airport,36.85888889,-6.139166667,12,Trebujena,LETJ,
4033,medium_airport,40.95209885,-5.501989841,2595,Salamanca,LESA,SLM
4006,small_airport,42.38639832,1.866670012,3586,Alp,LECD,
4024,small_airport,39.9375,-3.503329992,2405,Toledo,LEOC,
34924,small_airport,39.56209946,-3.250750065,2405,Toledo,LEMX,
